Cellana ornata,Diloma,Haustrum scobina,Perna,Xenostrobus,Ulva,Bostrychia arbuscula,Petalonia,Ralfsia,Scytothamnus,Splachnidium,Corallina sp,Crustose Coralline,Gelidium,Anemone,Spirobranchus,Pyura doppel,Epopella,image,site,density,treat,index,value
0,0,0,0,36,30,0,2,6,2,0,0,0,4,0,0,2,0,IMG_8581.JPG,Koutau,High,C,S,7
0,0,0,0,26,14,0,2,12,12,0,18,0,0,0,0,2,0,IMG_8591.JPG,Koutau,High,C,S,7
2.0833333333333335,0,6.25,2.0833333333333335,27.083333333333332,6.25,0,0,4.166666666666667,18.75,0,0,0,4.166666666666667,0,0,0,2.0833333333333335,IMG_8638.JPG,Koutau,High,C,S,9
0,0,2,0,58,2,0,2,6,10,0,0,0,8,0,0,0,0,IMG_8660.JPG,Koutau,High,C,S,7
2,0,2,0,28,8,0,0,4,0,0,8,0,14,4,0,0,4,IMG_8677.JPG,Koutau,High,C,S,9
0,2,0,0,24,22,0,0,10,38,0,0,0,0,0,0,0,0,IMG_8617.JPG,Koutau,Low,C,S,5
0,0,0,0,14,48,0,2,24,8,0,0,0,0,0,0,0,4,IMG_8572.JPG,Koutau,Low,C,S,6
0,0,0,0,26,24,0,0,8,30,0,0,0,0,0,0,0,2,IMG_8568.JPG,Koutau,Low,C,S,5
0,0,0,0,62,6,0,0,4,14,0,0,0,0,2,0,0,0,IMG_8633.JPG,Koutau,Low,C,S,5
0,0,0,0,26,20,0,6,4,0,0,12,0,4,0,0,0,4,IMG_8669.JPG,Koutau,Low,C,S,7
2,2,0,0,60,2,0,0,0,22,0,0,0,0,0,0,0,2,IMG_8683.JPG,Koutau,Control,C,S,6
0,2,0,12,24,16,0,0,8,8,0,0,0,0,0,0,0,2,IMG_8611.JPG,Koutau,Control,C,S,7
0,0,0,0,36.734693877551024,28.571428571428573,0,0,8.16326530612245,12.244897959183673,0,0,0,0,0,0,0,0,IMG_8608.JPG,Koutau,Control,C,S,4
0,0,0,0,68,6,0,2,0,16,0,0,0,2,0,0,0,0,IMG_8646.JPG,Koutau,Control,C,S,5
0,0,0,0,94,0,0,0,2,0,0,0,0,0,0,2,0,0,IMG_8663.JPG,Koutau,Control,C,S,3
