Taxa,average,sd,ratio,Mean Koutou,Mean Shipwreck,cumsum,P
Xenostrobus pulex,0.1,0.06,1.49,3.61,1.3,0.15,0.002
Ulva sp.,0.09,0.04,2.19,2.39,0,0.29,0.001
Scytothamnus australis,0.08,0.05,1.64,2.12,0.13,0.41,0.001
Ralfsia sp.,0.06,0.04,1.45,1.75,3.02,0.51,0.002
Corallina sp,0.06,0.05,1.07,0.51,1.55,0.6,0.122
Biofilm,0.06,0.06,0.99,0,1.46,0.69,0.007
Bare space,0.05,0.04,1.36,2.41,1.72,0.77,0.24
Gelidium sp.,0.03,0.04,0.94,0.72,0.5,0.82,0.807
Crustose coralline algae,0.03,0.03,0.89,0,0.71,0.86,0.014
Petalonia,0.02,0.02,0.81,0.5,0.07,0.89,0.008
