Index,Term,Comparison,estimate,conf.low,conf.high,P
N,Site,S-K,-0.08780212126763942,-0.22162449036123436,0.04602024782595551,0.18830471727638354
N,Density,High-Control,0.16474206985366635,-0.033572447635335206,0.3630565873426679,0.1165254724311946
N,Density,Low-Control,0.13343642799676658,-0.06487808949223497,0.3317509454857681,0.23315936013457306
N,Density,Low-High,-0.03130564185689977,-0.22962015934590133,0.1670088756321018,0.9181941144894841
N,Site x Density,S:Control-K:Control,-0.32689861617792637,-0.6741394817033601,0.020342249347507446,0.07330480960356078
N,Site x Density,K:High-K:Control,-0.08479437373559673,-0.43203523926103055,0.2624464917898371,0.9724336447043338
N,Site x Density,S:High-K:Control,0.08737989726500306,-0.25986096826043076,0.4346207627904369,0.9686609899714607
N,Site x Density,K:Low-K:Control,0.024328129220600125,-0.3229127363048337,0.37156899474603394,0.9999249309886542
N,Site x Density,S:Low-K:Control,-0.08435388940499333,-0.43159475493042715,0.2628869761204405,0.9730432955766533
N,Site x Density,K:High-S:Control,0.24210424244232964,-0.10513662308310417,0.5893451079677634,0.2940878663455485
N,Site x Density,S:High-S:Control,0.41427851344292943,0.06703764791749561,0.7615193789683632,0.012984532494329626
N,Site x Density,K:Low-S:Control,0.3512267453985265,0.003985879873092679,0.6984676109239603,0.0463098044442829
N,Site x Density,S:Low-S:Control,0.24254472677293304,-0.10469613875250078,0.5897855922983668,0.29228644208370724
N,Site x Density,S:High-K:High,0.1721742710005998,-0.17506659452483403,0.5194151365260335,0.6474183058264593
N,Site x Density,K:Low-K:High,0.10912250295619685,-0.23811836256923696,0.45636336848163067,0.9224763048404137
N,Site x Density,S:Low-K:High,4.4048433060339676e-4,-0.3468003811948304,0.3476813498560372,1
N,Site x Density,K:Low-S:High,-0.06305176804440293,-0.41029263356983675,0.2841890974810309,0.9926367105888838
N,Site x Density,S:Low-S:High,-0.1717337866699964,-0.5189746521954302,0.17550707885543743,0.6498091660463259
N,Site x Density,S:Low-K:Low,-0.10868201862559346,-0.4559228841510273,0.23855884689984036,0.923684733741003
H,Site,S-K,-0.28817992886819077,-0.5222953107831885,-0.0540645469531931,0.017953896508439593
